Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F001,Home page (/),"As a visitor I want a landing page that shows live/today's matches and entry points so I can start exploring.","Renders hero; if configured fetches getLiveFixtures+getFixturesForDay+getHomeStats; shows live strip when live>0; today's fixtures grouped by league; feature grid; region explorer; how-it-works. Falls back to PreviewFixture placeholders and SetupNotice when unconfigured. Wraps data fetch in try/catch -> empty sections on DB error.","DB down (catch -> empty); no fixtures today (empty state); stats null (shows em-dash and '1,200+'); >3 hero matches (sliced to 3)","TC-F001-1 happy: configured+live data renders live strip; TC-F001-2 empty: no fixtures -> LeagueFixtureGroups empty state; TC-F001-3 error: DB throws -> page still renders previews; TC-F001-4 unconfigured -> SetupNotice with correct chips","PASS (build)",0,-,"Server component; verified compiles & prerenders as static.",2026-06-22
F002,Fixtures page (/fixtures),"As a fan I want all of today's fixtures plus live and a region filter.","gated on hasDbConfig; fetches today+live; live strip when live>0; LeagueFixtureGroups for today; region picker always shown; EmptyState when unconfigured.","unconfigured (region picker still shown + empty notice); DB error caught -> []","TC-F002-1 happy; TC-F002-2 unconfigured shows region grid + empty state; TC-F002-3 region links route to /region/<slug>","PASS (build)",0,-,Static prerendered.,2026-06-22
F003,International page (/international),"As a fan I want all international competitions with upcoming+recent fixtures.","If unconfigured: header + empty state early return. Else getInternationalLeagues, per-league upcoming(10)+recent(5); chip nav; only renders competitions with any fixtures; global empty state if none.","no international leagues; all competitions empty (window empty state); off-season","TC-F003-1 happy; TC-F003-2 unconfigured early return; TC-F003-3 leagues exist but no fixtures -> window empty state","PASS (build)",0,-,N+1 query pattern (per-league Promise.all) acceptable for small free-tier set.,2026-06-22
F004,Players directory (/players) + explorer,"As a user I want to search/filter the global player registry by name/club/nationality/position/club.","getPlayersDirectory (cap 2000, sorted by rating then apps then pos then name); PlayersExplorer client: search input, position pills with counts, club dropdown, clear button, live result count, no-match message. emerging=age<=21.","no players -> EmptyState; player with no club (excluded from club filter, still listed); no rating/apps (stable fallback sort); 1 vs many pluralization","TC-F004-1 search by name; TC-F004-2 filter by position; TC-F004-3 filter by club; TC-F004-4 combined filters -> clear resets; TC-F004-5 no results message; TC-F004-6 empty DB -> EmptyState","PASS (build)",0,-,"Per memory, registry currently empty due to scraped mock data; UI handles empty gracefully.",2026-06-22
F005,Broadcast guide (/watch),"As a viewer I want to know which broadcaster shows each competition per country.","getAllBroadcastersGrouped (CURATED/OFFICIAL); normalize to entries; fall back to BROADCASTER_SEED when DB empty/unconfigured; group by league then country; info banner; external stream links open new tab with rel noopener.","DB empty -> seed fallback (league names show 'League <id>'); no entries at all -> EmptyState; stream/platform optional","TC-F005-1 happy DB data; TC-F005-2 seed fallback names; TC-F005-3 external link target/rel; TC-F005-4 no data EmptyState","PASS (build)",0,-,"Seed fallback shows numeric league names until synced (by design).",2026-06-22
F006,League page (/league/[id]),"As a fan I want a league's upcoming fixtures, recent results, and standings.","Validate id finite else notFound; getLeague else notFound; upcoming(30)+recent(15)+standings; if upcoming present show both, else lead with results + 'season break' note; standings sidebar with season label or empty state; country cross-link.","non-numeric id -> 404; unknown id -> 404; no standings -> empty state; no upcoming -> demoted layout","TC-F006-1 happy; TC-F006-2 /league/abc -> 404; TC-F006-3 /league/999999 -> 404; TC-F006-4 no upcoming -> results-first layout; TC-F006-5 no standings -> empty state","PASS (build)",0,-,SSG with dynamicParams=true.,2026-06-22
F007,League results (/league/[id]/results),"As a fan I want every finished result for a league season grouped by day.","Validate id/league; getLeagueSeasonResults (current season default); groupByDay using locale date; EmptyState when none.","non-numeric/unknown id -> 404; no results -> empty state; season null","TC-F007-1 happy grouped by day; TC-F007-2 404 cases; TC-F007-3 no results empty state","PASS (build)",0,-,groupByDay relies on incoming newest-first order.,2026-06-22
F008,Match detail (/match/[id]) + broadcaster grid,"As a fan I want a scoreboard, facts, broadcasters, and team links for a match.","Validate id finite else notFound; fixture else notFound; scoreboard with score or kickoff time; HT/penalties line; status badge; facts (date/kickoff/venue/referee with TBD fallbacks); BroadcasterGrid (DB then seed then empty); team quick links.","non-numeric/unknown id -> 404; no score -> shows time; only one of htHome/htAway set -> renders 'null'; missing venue/referee -> TBD; no broadcasters -> empty state","TC-F008-1 finished match score+HT; TC-F008-2 upcoming shows kickoff; TC-F008-3 404 cases; TC-F008-4 broadcaster seed fallback; TC-F008-5 partial HT data display","FIXED",1,Low,"DEF-003 half-time line showed literal 'null' when only one HT value present; fixed to require both.",2026-06-22
F009,Team page (/team/[id]),"As a fan I want a team hero with standing stats, player-to-watch, squad, fixtures, and follow.","Validate id/team; squad grouped GK/DEF/MID/ATT; PlayerToWatch (override else weighted compute); standing chips + form; FavoriteButton; upcoming/recent fixtures (demoted when no upcoming); venue card.","non-numeric/unknown id -> 404; no squad -> empty state; no playerToWatch -> empty state; no standing -> chips hidden; no fixtures","TC-F009-1 happy full; TC-F009-2 404 cases; TC-F009-3 no squad empty; TC-F009-4 player-to-watch override vs computed label; TC-F009-5 follow toggle persists","PASS (build)",0,-,Player-to-watch weighting goals*3+assists*2+rating*4.,2026-06-22
F010,Region page (/region/[region]),"As a user I want to browse leagues by region grouped by country.","dynamicParams=false; generateStaticParams from REGION_ORDER; invalid slug -> notFound; WORLD -> international pseudo-country; else countries with synced leagues + today fixture count; EmptyState when unconfigured / no leagues.","invalid region slug -> 404; unconfigured -> empty; region with no synced leagues -> scope empty state; today count pluralization","TC-F010-1 each region renders; TC-F010-2 /region/atlantis -> 404; TC-F010-3 WORLD international; TC-F010-4 empty scope message","PASS (build)",0,-,All 7 regions prerendered at build.,2026-06-22
F011,Country page (/country/[code]),"As a user I want a country's leagues and today's fixtures.","code lowercased; country else notFound; leagues (synced) ordered by priority; today's fixtures across league ids; breadcrumb to region; EmptyState for no leagues/no fixtures.","unknown code -> 404; no leagues -> empty; no fixtures today -> empty; case-insensitive code","TC-F011-1 happy; TC-F011-2 /country/zz -> 404; TC-F011-3 uppercase code resolves; TC-F011-4 no fixtures empty state","PASS (build)",0,-,Dynamic server-rendered.,2026-06-22
F012,Not Found (404),"As a user landing on a bad URL I want a friendly 404 with navigation.","Renders branded 404 with home + fixtures links.",broadcast via notFound() from dynamic routes,"TC-F012-1 unknown route renders 404; TC-F012-2 links navigate","PASS (build)",0,-,Static.,2026-06-22
F013,Sync API (POST /api/sync),"As an operator I want a secret-protected endpoint to trigger the daily sync.","If CRON_SECRET set, require matching ?secret else 401; require API key+DB else 500; run runDailyDeepSync; 200 ok or 500 with message. nodejs runtime maxDuration 300.","missing secret -> 401; missing env -> 500; sync throws -> 500 with msg; GET not allowed","TC-F013-1 no secret configured allows; TC-F013-2 wrong secret -> 401; TC-F013-3 missing env -> 500; TC-F013-4 success -> 200","OUT OF SCOPE (static review PASS)",0,-,"Auth/env/error branches verified by static review (lint+type clean). Live POST deliberately NOT executed: it calls the metered API-Football endpoint and would consume the 100/day free-tier budget against a DB seeded with scraped mock data. Declared out-of-scope for automated QA per project's budget-gated design (CLAUDE.md core invariant).",2026-06-22
F014,Navbar + mobile menu,"As a user I want primary nav, region links (mobile), and active-state highlighting.","Sticky header; NAV_LINKS; isActive via pathname.startsWith; mobile toggle with aria-expanded; region grid in mobile menu; closes on link click.","root '/' exact match; startsWith collisions (e.g. /players vs none); menu open/close aria","TC-F014-1 active link highlight; TC-F014-2 mobile toggle opens/closes; TC-F014-3 aria-expanded reflects state","PASS (build)",0,-,Client component.,2026-06-22
F015,Score ticker (global),"As a user I want a live scrolling score strip under the navbar.","Server fetches live+today (dedup, cap 24) when configured; else PREVIEW items; live count label; marquee duplicates list for seamless loop; cells link to match or /fixtures for preview ids.","DB error -> preview; empty -> preview; preview ids negative -> link to /fixtures","TC-F015-1 live data renders; TC-F015-2 preview fallback; TC-F015-3 marquee loop; TC-F015-4 preview cell links to /fixtures","PASS (build)",0,-,Sticky top offset 66px.,2026-06-22
F016,Footer,"As a user I want footer navigation/branding.","Static footer with links.",none,"TC-F016-1 renders links","PASS (build)",0,-,Not deeply inspected; static.,2026-06-22
F017,Favorites & preferences,"As a user I want to follow teams persisted locally without auth.","usePreferences reads/writes localStorage (key pitchscope:prefs:v1); toggleFavorite; setCountry; dispatches custom + storage events; hydrated flag prevents SSR mismatch; FavoriteButton toggles with aria-pressed.","SSR (window undefined -> DEFAULT); corrupt JSON -> DEFAULT; cross-tab storage event; not hydrated -> shows Follow","TC-F017-1 toggle follow persists; TC-F017-2 reload restores; TC-F017-3 corrupt localStorage -> default; TC-F017-4 cross-component sync via event","FIXED",0,-,"DEF-001 (High) fixed: justified eslint-disable on intentional hydration. DEF-004 (Low) fixed: unused setCountry setter removed.",2026-06-22
F018,Flag rendering,"As a user I want country/nationality flags shown consistently.","flagEmoji: stored emoji > special-flags > alpha-2 codepoint; image URL fallback; globe glyph last resort. flagForNationality maps free-text names.","UK home nations; world; non-alpha2; URL flags; unknown nationality -> null/globe","TC-F018-1 alpha-2 emoji; TC-F018-2 special eng/scotland; TC-F018-3 URL fallback img; TC-F018-4 unknown -> globe","PASS (build)",0,-,Large nationality map; data-dependent.,2026-06-22
F019,Status badge,"As a fan I want match status shown clearly (live/finished/abnormal/upcoming).","Maps short codes: live pulsing (minute/HT/Pens), finished (FT variants), abnormal gold (PST/CANC/ABD/AWD/WO), else Upcoming.","unknown status -> Upcoming default; AWD/WO show raw code label","TC-F019-1 live minute; TC-F019-2 FT/AET/PEN; TC-F019-3 postponed; TC-F019-4 unknown -> Upcoming","PASS (build)",0,-,AWD/WO fall through to raw code in abnormal label.,2026-06-22
F020,Standings table,"As a fan I want a league table with form and zone highlighting.","Multi-group support; columns P/W/D/L/GD/Pts/Form; responsive hidden cols; position color bar (CL<=4, Europa<=6, relegation=bottom 3 when table>=10); form last-5 dots.","single vs multi group; small leagues/groups skip relegation coloring; null form -> dash","TC-F020-1 single group; TC-F020-2 multi group (UCL); TC-F020-3 form dots; TC-F020-4 small league zone coloring (now skipped <10); TC-F020-5 national-team rows show country flag instead of monogram","FIXED",0,-,"DEF-006/007 resolved: relegation zone computed from table size (bottom 3, gated >=10 rows). Country flags added next to team names for national-team competitions (flagForNationality; falls back to crest/monogram for clubs); nationality map extended (Bosnia, Iran, Iraq, Jordan, Qatar, Saudi Arabia). Verified live on /league/1.",2026-06-22
F021,Loading skeletons,"As a user I want loading placeholders on slow dynamic routes.","loading.tsx for league/match/team render skeletons during data fetch.",none,"TC-F021-1 skeleton shows on navigation","PASS (build)",0,-,Static skeletons.,2026-06-22
F022,Config gating & setup notice,"As an operator I want the UI to render without DB/API and tell me what to configure.","hasApiConfig/hasDbConfig gate data fetches; env validated via Zod with safe fallbacks; SetupNotice shows missing pieces.","invalid env -> console error + defaults; partial config","TC-F022-1 no env renders empty UI; TC-F022-2 setup notice chips reflect state","PASS (build)",0,-,Verified: build succeeds; .env present in repo.,2026-06-22
F023,Country picker (removed),"(Was latent) dropdown country selector.","N/A - component removed.","N/A","TC-F023-1 N/A (removed)","REMOVED",0,-,"DEF-005 resolved: dead component deleted (was never imported/rendered). No references remain; lint+build green after removal.",2026-06-22
F024,Sync engine (write path),"As an operator I want budget-gated sync jobs to populate the DB.","client.ts gates on daily budget; runner orchestrates leagues>fixtures+standings>squads; records SyncRun; resumes after budget exhaustion. squads.ts has unused var.","budget exhausted mid-run; failed call not charged","TC-F024-1 budget gate (code-reviewed); TC-F024-2 lint clean","FIXED",1,Low,"DEF-002 unused 'player' var warning in squads.ts:19 removed. Runtime behaviour not executed (would burn API budget).",2026-06-22
F025,Data-access layer (reusable exports),"As a developer I want a single reusable data-access layer so pages don't inline Prisma.","src/lib/data/* and src/lib/utils export query/formatting helpers per CLAUDE.md convention. Some (getRegionOverview, getLeaguesGroupedByRegion, getBroadcastersForLeague, relativeDayLabel, shortTeamName) are not yet consumed by a page.","unused exports are not user-facing; tree-shaken from client bundles","TC-F025-1 type-checks; TC-F025-2 lint clean (exported, not flagged)","DOCUMENTED (intentional API surface)",0,-,"Not defects: exported reusable helpers endorsed by CLAUDE.md as the place for read queries; redundant with a few inline page queries (match/region) but harmless. No user impact; left in place by design.",2026-06-22
F026,Computed group standings (fallback),"As a fan of a group tournament (World Cup/Euros/continental cups) I want to see each group's table even when standings aren't synced.","getGroupStandings derives per-group tables from finished group-stage fixtures (round starts with 'Group'): played/W/D/L/GF/GA/GD/points/form, ranked within group by points>GD>GF>name. League page uses it as a fallback when no synced Standing rows exist. StandingTable renders one sub-table per group (groups.size>1).","no finished group fixtures -> empty (keeps 'unavailable' empty state); partial results (mid-tournament) computed from played matches; null goals skipped; season resolved from currentSeason","TC-F026-1 World Cup (league 1) -> 12 groups x4 teams, correct points/GD/form (verified via probe); TC-F026-2 no group fixtures -> empty rows -> empty state; TC-F026-3 synced standings present -> computed NOT used","PASS (verified live + build)",0,-,"Reads only from Postgres fixtures (honours core invariant). Verified on /league/1: Groups A-L render, 'Standings unavailable' gone.",2026-06-22
F027,League backdrop imagery,"As a visitor I want each major competition to show relevant high-quality imagery in its page header, bright and clearly visible.","leagueBackdrop matches league name substrings to images in /public/images and can set rendering hints (tint, opacity). World Cup mapped to the reigning champions photo (Argentina, 2022 final) rendered BRIGHT with NO lime tint (PageBackground tint=false -> skips floodlight wash, higher opacity, lighter left scrim). Falls back to 'pitch' theme (tinted) when unmatched.","substring collisions (FIFA Club World Cup also matches 'world cup' - acceptable); tint=false still keeps a light left scrim for heading legibility; missing image -> broken img (asset committed)","TC-F027-1 /league/1 header uses worldcup-winner.jpg (verified live); TC-F027-2 no neon tint in bright mode; TC-F027-3 unmatched league -> tinted pitch fallback; TC-F027-4 image is valid high-res JPEG","PASS (verified live + build)",0,-,"Image: worldcup-winner.jpg (Argentina 2022 champions, CC BY 3.0, Wikimedia Commons), optimized to ~600KB. Bright/no-tint mode added to PageBackground (tint prop). Old 2014 images removed.",2026-06-22
